ScalingGroup,Parameter,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,a,21.61,17.27,-0.81,19.15,-14.72,-37.14,-0.13,2.15,8.18,-23.38,-6.58,-11.41,-30.17,-10.44
1,b,1.89,1.9,2.1,1.95,2.41,2.7,2.17,2.21,2.09,2.5,2.16,2.27,2.58,2.27
2,a,-21.75,-30.37,1.37,28.38,7.63,-34.89,0,20.87,-19.72,-25.97,-16.44,-84.33,-35.59,-35.59
2,b,2.46,2.52,2.1,1.84,2.08,2.62,0,1.92,2.34,2.44,2.25,3.04,2.64,2.64
10,a,44.7,41.13,19.13,33.27,33.46,10.22,22.6,31.85,57.66,9.79,26.79,26.22,13.58,36.37
10,b,1.61,1.66,1.89,1.8,1.76,2,1.88,1.78,1.42,2.03,1.8,1.76,1.97,1.7
16,a,,,,,,,,,,,,,-30.73,-41.52
16,b,,,,,,,,,,,,,2.53,2.6
20,a,30.11,14.71,20.07,58.98,37.89,25.47,28.58,50.31,39.2,37.35,29.99,33.84,29.08,23.53
20,b,1.82,2.03,1.93,1.5,1.78,1.89,1.9,1.67,1.73,1.76,1.8,1.71,1.81,1.89
21,a,44.38,37.02,23.73,44.22,49.93,-5.87,5.23,30.64,39.98,20.99,16.86,17.02,-6.64,20.47
21,b,1.68,1.75,1.88,1.69,1.65,2.24,2.12,1.84,1.7,1.94,1.95,1.89,2.23,1.9
23,a,7.16,20.62,36.96,32.62,18.23,5.51,-21.34,20.54,39.58,7.43,15.41,7.81,-16.06,-8.54
23,b,2.2,1.95,1.75,1.85,2,2.15,2.47,1.96,1.71,2.07,1.96,2.01,2.35,2.27
30,a,51.88,39.44,13.6,38.77,-11.05,-14.53,31.09,24.2,58.79,14.68,20.12,-3.63,36.75,12.48
30,b,1.55,1.69,2.01,1.75,2.45,2.37,1.89,1.98,1.49,2.06,1.86,2.19,1.73,2.07
42,a,18.48,28.37,1.01,-4.45,13.02,1.08,-66.13,-23.6,27.74,-9.7,6.13,33.85,-24.18,35.82
42,b,1.88,1.71,2.11,2.21,1.99,2.21,3.02,2.47,1.74,2.26,2.07,1.68,2.43,1.65
43,a,36.59,9.21,-18.05,-14.87,-86.32,-1.44,-40.14,-33.01,49.92,-6.12,28.28,-17.8,-9.63,5.33
43,b,1.76,1.93,2.32,2.28,3.18,2.24,2.69,2.51,1.58,2.31,1.75,2.37,2.27,2.11
44,a,18.48,28.37,1.01,-53.2,6.78,-3.77,-4.49,-23.6,43.81,4.14,-3.27,5.47,-23.6,3.2
44,b,1.88,1.71,2.11,2.81,2.17,2.3,2.27,2.47,1.63,2.12,2.22,2.02,2.49,2.21
50,a,11.99,-19.33,-34.89,41.69,-93.78,-56.01,-36.63,-44.33,13.82,-65.4,-22.95,-24.91,8.39,15.81
50,b,2.02,2.22,2.5,1.65,3.15,2.8,2.58,2.66,1.9,2.84,2.39,2.35,2.06,2
60,a,7.16,20.62,36.96,32.62,18.23,5.51,-21.34,20.54,39.58,18.7,29.89,-3.75,2.43,2.35
60,b,2.2,1.95,1.75,1.85,2,2.15,2.47,1.96,1.71,1.92,1.69,2.12,2.15,2.16
65,a,21.78,25.14,-7.04,43.27,22.07,8.7,32.76,18.81,49.22,,29.48,25.24,7.96,27.95
65,b,1.83,1.68,2.12,1.64,1.94,2.12,1.84,1.98,1.57,,1.78,1.81,2.12,1.87
71,a,21.76,0.99,4.58,3.78,13.88,-38.08,-47.32,-95.08,-65.36,-14.13,-42.82,-12.37,-47.75,-31.64
71,b,1.93,2.11,1.98,2.12,1.85,2.58,2.69,3.42,3.03,2.36,2.64,2.28,2.83,2.6
72,a,-0.99,-10.8,34.73,1.59,-71.55,-1.12,-41.36,-23.45,41.89,,,20.83,-93.42,-32.93
72,b,2.07,2.22,1.58,2.1,3.1,2.19,2.7,2.46,1.63,,,1.8,3.35,2.64
90,a,-32.78,29.29,-7.06,-19.02,-34.9,22.62,-16.43,8.08,11.25,-39.51,6.84,-1.16,-1.89,13.01
90,b,2.46,1.74,2.14,2.4,2.69,1.86,2.24,1.97,1.89,2.64,2.04,2.11,2.11,1.98
